Provincias	Edad (año a año)	Españoles/Extranjeros	Sexo	Año	Total
04 Almería	TOTAL EDADES	TOTAL	Ambos sexos	2021	731792
04 Almería	TOTAL EDADES	TOTAL	Ambos sexos	2020	727945
04 Almería	TOTAL EDADES	TOTAL	Ambos sexos	2019	716820
04 Almería	TOTAL EDADES	TOTAL	Ambos sexos	2018	709340
04 Almería	TOTAL EDADES	TOTAL	Ambos sexos	2017	706672
04 Almería	TOTAL EDADES	TOTAL	Ambos sexos	2016	704297
04 Almería	TOTAL EDADES	TOTAL	Ambos sexos	2015	701211
04 Almería	TOTAL EDADES	TOTAL	Ambos sexos	2014	701688
04 Almería	TOTAL EDADES	TOTAL	Ambos sexos	2013	699329
04 Almería	TOTAL EDADES	TOTAL	Ambos sexos	2012	704219
04 Almería	TOTAL EDADES	TOTAL	Ambos sexos	2011	702819
04 Almería	TOTAL EDADES	TOTAL	Ambos sexos	2010	695560
04 Almería	TOTAL EDADES	TOTAL	Ambos sexos	2009	684426
04 Almería	TOTAL EDADES	TOTAL	Ambos sexos	2008	667635
04 Almería	TOTAL EDADES	TOTAL	Ambos sexos	2007	646633
04 Almería	TOTAL EDADES	TOTAL	Ambos sexos	2006	635850
04 Almería	TOTAL EDADES	TOTAL	Ambos sexos	2005	612315
04 Almería	TOTAL EDADES	TOTAL	Ambos sexos	2004	580077
04 Almería	TOTAL EDADES	TOTAL	Ambos sexos	2003	565310
04 Almería	TOTAL EDADES	TOTAL	Ambos sexos	2002	546498
04 Almería	TOTAL EDADES	TOTAL	Ambos sexos	2001	533168
04 Almería	TOTAL EDADES	TOTAL	Ambos sexos	2000	518229
04 Almería	TOTAL EDADES	TOTAL	Ambos sexos	1999	512843
04 Almería	TOTAL EDADES	TOTAL	Ambos sexos	1998	505448
01 Araba/Álava	TOTAL EDADES	TOTAL	Ambos sexos	2022	334412
01 Araba/Álava	TOTAL EDADES	TOTAL	Ambos sexos	2021	333626
01 Araba/Álava	TOTAL EDADES	TOTAL	Ambos sexos	2020	333940
01 Araba/Álava	TOTAL EDADES	TOTAL	Ambos sexos	2019	331549
01 Araba/Álava	TOTAL EDADES	TOTAL	Ambos sexos	2018	328868
01 Araba/Álava	TOTAL EDADES	TOTAL	Ambos sexos	2017	326574
01 Araba/Álava	TOTAL EDADES	TOTAL	Ambos sexos	2016	324126
01 Araba/Álava	TOTAL EDADES	TOTAL	Ambos sexos	2015	323648
01 Araba/Álava	TOTAL EDADES	TOTAL	Ambos sexos	2014	321932
01 Araba/Álava	TOTAL EDADES	TOTAL	Ambos sexos	2013	321417
01 Araba/Álava	TOTAL EDADES	TOTAL	Ambos sexos	2012	322557
01 Araba/Álava	TOTAL EDADES	TOTAL	Ambos sexos	2011	319227
01 Araba/Álava	TOTAL EDADES	TOTAL	Ambos sexos	2010	317352
01 Araba/Álava	TOTAL EDADES	TOTAL	Ambos sexos	2009	313819
01 Araba/Álava	TOTAL EDADES	TOTAL	Ambos sexos	2008	309635
01 Araba/Álava	TOTAL EDADES	TOTAL	Ambos sexos	2007	305459
01 Araba/Álava	TOTAL EDADES	TOTAL	Ambos sexos	2006	301926
01 Araba/Álava	TOTAL EDADES	TOTAL	Ambos sexos	2005	299957
01 Araba/Álava	TOTAL EDADES	TOTAL	Ambos sexos	2004	295905
01 Araba/Álava	TOTAL EDADES	TOTAL	Ambos sexos	2003	294360
01 Araba/Álava	TOTAL EDADES	TOTAL	Ambos sexos	2002	291860
01 Araba/Álava	TOTAL EDADES	TOTAL	Ambos sexos	2001	288793
01 Araba/Álava	TOTAL EDADES	TOTAL	Ambos sexos	2000	286497
01 Araba/Álava	TOTAL EDADES	TOTAL	Ambos sexos	1999	285748
01 Araba/Álava	TOTAL EDADES	TOTAL	Ambos sexos	1998	284595
33 Asturias	TOTAL EDADES	TOTAL	Ambos sexos	2022	1004686
33 Asturias	TOTAL EDADES	TOTAL	Ambos sexos	2021	1011792
33 Asturias	TOTAL EDADES	TOTAL	Ambos sexos	2020	1018784
33 Asturias	TOTAL EDADES	TOTAL	Ambos sexos	2019	1022800
33 Asturias	TOTAL EDADES	TOTAL	Ambos sexos	2018	1028244
33 Asturias	TOTAL EDADES	TOTAL	Ambos sexos	2017	1034960
33 Asturias	TOTAL EDADES	TOTAL	Ambos sexos	2016	1042608
33 Asturias	TOTAL EDADES	TOTAL	Ambos sexos	2015	1051229
33 Asturias	TOTAL EDADES	TOTAL	Ambos sexos	2014	1061756
33 Asturias	TOTAL EDADES	TOTAL	Ambos sexos	2013	1068165
33 Asturias	TOTAL EDADES	TOTAL	Ambos sexos	2012	1077360
33 Asturias	TOTAL EDADES	TOTAL	Ambos sexos	2011	1081487
33 Asturias	TOTAL EDADES	TOTAL	Ambos sexos	2010	1084341
33 Asturias	TOTAL EDADES	TOTAL	Ambos sexos	2009	1085289
33 Asturias	TOTAL EDADES	TOTAL	Ambos sexos	2008	1080138
33 Asturias	TOTAL EDADES	TOTAL	Ambos sexos	2007	1074862
33 Asturias	TOTAL EDADES	TOTAL	Ambos sexos	2006	1076896
33 Asturias	TOTAL EDADES	TOTAL	Ambos sexos	2005	1076635
33 Asturias	TOTAL EDADES	TOTAL	Ambos sexos	2004	1073761
33 Asturias	TOTAL EDADES	TOTAL	Ambos sexos	2003	1075381
33 Asturias	TOTAL EDADES	TOTAL	Ambos sexos	2002	1073971
33 Asturias	TOTAL EDADES	TOTAL	Ambos sexos	2001	1075329
33 Asturias	TOTAL EDADES	TOTAL	Ambos sexos	2000	1076567
33 Asturias	TOTAL EDADES	TOTAL	Ambos sexos	1999	1084314
33 Asturias	TOTAL EDADES	TOTAL	Ambos sexos	1998	1081834
05 Ávila	TOTAL EDADES	TOTAL	Ambos sexos	2022	158140
05 Ávila	TOTAL EDADES	TOTAL	Ambos sexos	2021	158421
05 Ávila	TOTAL EDADES	TOTAL	Ambos sexos	2020	157664
05 Ávila	TOTAL EDADES	TOTAL	Ambos sexos	2019	157640
05 Ávila	TOTAL EDADES	TOTAL	Ambos sexos	2018	158498
05 Ávila	TOTAL EDADES	TOTAL	Ambos sexos	2017	160700
05 Ávila	TOTAL EDADES	TOTAL	Ambos sexos	2016	162514
05 Ávila	TOTAL EDADES	TOTAL	Ambos sexos	2015	164925
05 Ávila	TOTAL EDADES	TOTAL	Ambos sexos	2014	167015
05 Ávila	TOTAL EDADES	TOTAL	Ambos sexos	2013	168825
05 Ávila	TOTAL EDADES	TOTAL	Ambos sexos	2012	171265
05 Ávila	TOTAL EDADES	TOTAL	Ambos sexos	2011	172704
05 Ávila	TOTAL EDADES	TOTAL	Ambos sexos	2010	171896
05 Ávila	TOTAL EDADES	TOTAL	Ambos sexos	2009	171680
05 Ávila	TOTAL EDADES	TOTAL	Ambos sexos	2008	171815
05 Ávila	TOTAL EDADES	TOTAL	Ambos sexos	2007	168638
05 Ávila	TOTAL EDADES	TOTAL	Ambos sexos	2006	167818
05 Ávila	TOTAL EDADES	TOTAL	Ambos sexos	2005	167032
05 Ávila	TOTAL EDADES	TOTAL	Ambos sexos	2004	166108
