Provincias	Edad (año a año)	Españoles/Extranjeros	Sexo	Año	Total
39 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2018	580229
39 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2017	580295
39 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2016	582206
39 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2015	585179
39 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2014	588656
39 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2013	591888
39 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2012	593861
39 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2011	593121
39 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2010	592250
39 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2009	589235
39 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2008	582138
39 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2007	572824
39 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2006	568091
39 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2005	562309
39 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2004	554784
39 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2003	549690
39 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2002	542275
39 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2001	537606
39 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	2000	531159
39 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	1999	528478
39 Cantabria	TOTAL EDADES	TOTAL	Ambos sexos	1998	527137
12 Castellón/Castelló	TOTAL EDADES	TOTAL	Ambos sexos	2022	590616
12 Castellón/Castelló	TOTAL EDADES	TOTAL	Ambos sexos	2021	587064
12 Castellón/Castelló	TOTAL EDADES	TOTAL	Ambos sexos	2020	585590
12 Castellón/Castelló	TOTAL EDADES	TOTAL	Ambos sexos	2019	579962
12 Castellón/Castelló	TOTAL EDADES	TOTAL	Ambos sexos	2018	576898
12 Castellón/Castelló	TOTAL EDADES	TOTAL	Ambos sexos	2017	575470
12 Castellón/Castelló	TOTAL EDADES	TOTAL	Ambos sexos	2016	579245
12 Castellón/Castelló	TOTAL EDADES	TOTAL	Ambos sexos	2015	582327
12 Castellón/Castelló	TOTAL EDADES	TOTAL	Ambos sexos	2014	587508
12 Castellón/Castelló	TOTAL EDADES	TOTAL	Ambos sexos	2013	601699
12 Castellón/Castelló	TOTAL EDADES	TOTAL	Ambos sexos	2012	604564
12 Castellón/Castelló	TOTAL EDADES	TOTAL	Ambos sexos	2011	604344
12 Castellón/Castelló	TOTAL EDADES	TOTAL	Ambos sexos	2010	604274
12 Castellón/Castelló	TOTAL EDADES	TOTAL	Ambos sexos	2009	602301
12 Castellón/Castelló	TOTAL EDADES	TOTAL	Ambos sexos	2008	594915
12 Castellón/Castelló	TOTAL EDADES	TOTAL	Ambos sexos	2007	573282
12 Castellón/Castelló	TOTAL EDADES	TOTAL	Ambos sexos	2006	559761
12 Castellón/Castelló	TOTAL EDADES	TOTAL	Ambos sexos	2005	543432
12 Castellón/Castelló	TOTAL EDADES	TOTAL	Ambos sexos	2004	527345
12 Castellón/Castelló	TOTAL EDADES	TOTAL	Ambos sexos	2003	518239
12 Castellón/Castelló	TOTAL EDADES	TOTAL	Ambos sexos	2002	501237
12 Castellón/Castelló	TOTAL EDADES	TOTAL	Ambos sexos	2001	485173
12 Castellón/Castelló	TOTAL EDADES	TOTAL	Ambos sexos	2000	474385
12 Castellón/Castelló	TOTAL EDADES	TOTAL	Ambos sexos	1999	467895
12 Castellón/Castelló	TOTAL EDADES	TOTAL	Ambos sexos	1998	461712
13 Ciudad Real	TOTAL EDADES	TOTAL	Ambos sexos	2022	490806
13 Ciudad Real	TOTAL EDADES	TOTAL	Ambos sexos	2021	492591
13 Ciudad Real	TOTAL EDADES	TOTAL	Ambos sexos	2020	495045
13 Ciudad Real	TOTAL EDADES	TOTAL	Ambos sexos	2019	495761
13 Ciudad Real	TOTAL EDADES	TOTAL	Ambos sexos	2018	499100
13 Ciudad Real	TOTAL EDADES	TOTAL	Ambos sexos	2017	502578
13 Ciudad Real	TOTAL EDADES	TOTAL	Ambos sexos	2016	506888
13 Ciudad Real	TOTAL EDADES	TOTAL	Ambos sexos	2015	513713
13 Ciudad Real	TOTAL EDADES	TOTAL	Ambos sexos	2014	519613
13 Ciudad Real	TOTAL EDADES	TOTAL	Ambos sexos	2013	524962
13 Ciudad Real	TOTAL EDADES	TOTAL	Ambos sexos	2012	530250
13 Ciudad Real	TOTAL EDADES	TOTAL	Ambos sexos	2011	530175
13 Ciudad Real	TOTAL EDADES	TOTAL	Ambos sexos	2010	529453
13 Ciudad Real	TOTAL EDADES	TOTAL	Ambos sexos	2009	527273
13 Ciudad Real	TOTAL EDADES	TOTAL	Ambos sexos	2008	522343
13 Ciudad Real	TOTAL EDADES	TOTAL	Ambos sexos	2007	510122
13 Ciudad Real	TOTAL EDADES	TOTAL	Ambos sexos	2006	506864
13 Ciudad Real	TOTAL EDADES	TOTAL	Ambos sexos	2005	500060
13 Ciudad Real	TOTAL EDADES	TOTAL	Ambos sexos	2004	492914
13 Ciudad Real	TOTAL EDADES	TOTAL	Ambos sexos	2003	487670
13 Ciudad Real	TOTAL EDADES	TOTAL	Ambos sexos	2002	484338
13 Ciudad Real	TOTAL EDADES	TOTAL	Ambos sexos	2001	478581
13 Ciudad Real	TOTAL EDADES	TOTAL	Ambos sexos	2000	476633
13 Ciudad Real	TOTAL EDADES	TOTAL	Ambos sexos	1999	479087
13 Ciudad Real	TOTAL EDADES	TOTAL	Ambos sexos	1998	479474
14 Córdoba	TOTAL EDADES	TOTAL	Ambos sexos	2022	772464
14 Córdoba	TOTAL EDADES	TOTAL	Ambos sexos	2021	776789
14 Córdoba	TOTAL EDADES	TOTAL	Ambos sexos	2020	781451
14 Córdoba	TOTAL EDADES	TOTAL	Ambos sexos	2019	782979
14 Córdoba	TOTAL EDADES	TOTAL	Ambos sexos	2018	785240
14 Córdoba	TOTAL EDADES	TOTAL	Ambos sexos	2017	788219
14 Córdoba	TOTAL EDADES	TOTAL	Ambos sexos	2016	791610
14 Córdoba	TOTAL EDADES	TOTAL	Ambos sexos	2015	795611
14 Córdoba	TOTAL EDADES	TOTAL	Ambos sexos	2014	799402
14 Córdoba	TOTAL EDADES	TOTAL	Ambos sexos	2013	802422
14 Córdoba	TOTAL EDADES	TOTAL	Ambos sexos	2012	804498
14 Córdoba	TOTAL EDADES	TOTAL	Ambos sexos	2011	805857
14 Córdoba	TOTAL EDADES	TOTAL	Ambos sexos	2010	805108
14 Córdoba	TOTAL EDADES	TOTAL	Ambos sexos	2009	803998
14 Córdoba	TOTAL EDADES	TOTAL	Ambos sexos	2008	798822
14 Córdoba	TOTAL EDADES	TOTAL	Ambos sexos	2007	792182
14 Córdoba	TOTAL EDADES	TOTAL	Ambos sexos	2006	788287
14 Córdoba	TOTAL EDADES	TOTAL	Ambos sexos	2005	784376
14 Córdoba	TOTAL EDADES	TOTAL	Ambos sexos	2004	779870
14 Córdoba	TOTAL EDADES	TOTAL	Ambos sexos	2003	775944
14 Córdoba	TOTAL EDADES	TOTAL	Ambos sexos	2002	771131
14 Córdoba	TOTAL EDADES	TOTAL	Ambos sexos	2001	769625
14 Córdoba	TOTAL EDADES	TOTAL	Ambos sexos	2000	769237
14 Córdoba	TOTAL EDADES	TOTAL	Ambos sexos	1999	768676
14 Córdoba	TOTAL EDADES	TOTAL	Ambos sexos	1998	767175
15 Coruña, A	TOTAL EDADES	TOTAL	Ambos sexos	2022	1119180
15 Coruña, A	TOTAL EDADES	TOTAL	Ambos sexos	2021	1120134
15 Coruña, A	TOTAL EDADES	TOTAL	Ambos sexos	2020	1121815
15 Coruña, A	TOTAL EDADES	TOTAL	Ambos sexos	2019	1119596
15 Coruña, A	TOTAL EDADES	TOTAL	Ambos sexos	2018	1119351
15 Coruña, A	TOTAL EDADES	TOTAL	Ambos sexos	2017	1120294
15 Coruña, A	TOTAL EDADES	TOTAL	Ambos sexos	2016	1122799
15 Coruña, A	TOTAL EDADES	TOTAL	Ambos sexos	2015	1127196
15 Coruña, A	TOTAL EDADES	TOTAL	Ambos sexos	2014	1132735
15 Coruña, A	TOTAL EDADES	TOTAL	Ambos sexos	2013	1138161
15 Coruña, A	TOTAL EDADES	TOTAL	Ambos sexos	2012	1143911
15 Coruña, A	TOTAL EDADES	TOTAL	Ambos sexos	2011	1147124
15 Coruña, A	TOTAL EDADES	TOTAL	Ambos sexos	2010	1146458
15 Coruña, A	TOTAL EDADES	TOTAL	Ambos sexos	2009	1145488
15 Coruña, A	TOTAL EDADES	TOTAL	Ambos sexos	2008	1139121
15 Coruña, A	TOTAL EDADES	TOTAL	Ambos sexos	2007	1132792
15 Coruña, A	TOTAL EDADES	TOTAL	Ambos sexos	2006	1129141
15 Coruña, A	TOTAL EDADES	TOTAL	Ambos sexos	2005	1126707
15 Coruña, A	TOTAL EDADES	TOTAL	Ambos sexos	2004	1121344
15 Coruña, A	TOTAL EDADES	TOTAL	Ambos sexos	2003	1120814
15 Coruña, A	TOTAL EDADES	TOTAL	Ambos sexos	2002	1111886
15 Coruña, A	TOTAL EDADES	TOTAL	Ambos sexos	2001	1108002
15 Coruña, A	TOTAL EDADES	TOTAL	Ambos sexos	2000	1108419
15 Coruña, A	TOTAL EDADES	TOTAL	Ambos sexos	1999	1108980
15 Coruña, A	TOTAL EDADES	TOTAL	Ambos sexos	1998	1106325
16 Cuenca	TOTAL EDADES	TOTAL	Ambos sexos	2022	195215
16 Cuenca	TOTAL EDADES	TOTAL	Ambos sexos	2021	195516
16 Cuenca	TOTAL EDADES	TOTAL	Ambos sexos	2020	196139
16 Cuenca	TOTAL EDADES	TOTAL	Ambos sexos	2019	196329
16 Cuenca	TOTAL EDADES	TOTAL	Ambos sexos	2018	197222
16 Cuenca	TOTAL EDADES	TOTAL	Ambos sexos	2017	198718
16 Cuenca	TOTAL EDADES	TOTAL	Ambos sexos	2016	201071
16 Cuenca	TOTAL EDADES	TOTAL	Ambos sexos	2015	203841
16 Cuenca	TOTAL EDADES	TOTAL	Ambos sexos	2014	207449
16 Cuenca	TOTAL EDADES	TOTAL	Ambos sexos	2013	211899
16 Cuenca	TOTAL EDADES	TOTAL	Ambos sexos	2012	218036
16 Cuenca	TOTAL EDADES	TOTAL	Ambos sexos	2011	219138
16 Cuenca	TOTAL EDADES	TOTAL	Ambos sexos	2010	217716
16 Cuenca	TOTAL EDADES	TOTAL	Ambos sexos	2009	217363
16 Cuenca	TOTAL EDADES	TOTAL	Ambos sexos	2008	215274
16 Cuenca	TOTAL EDADES	TOTAL	Ambos sexos	2007	211375
16 Cuenca	TOTAL EDADES	TOTAL	Ambos sexos	2006	208616
16 Cuenca	TOTAL EDADES	TOTAL	Ambos sexos	2005	207974
16 Cuenca	TOTAL EDADES	TOTAL	Ambos sexos	2004	204546
16 Cuenca	TOTAL EDADES	TOTAL	Ambos sexos	2003	202982
16 Cuenca	TOTAL EDADES	TOTAL	Ambos sexos	2002	201614
16 Cuenca	TOTAL EDADES	TOTAL	Ambos sexos	2001	201526
16 Cuenca	TOTAL EDADES	TOTAL	Ambos sexos	2000	201053
16 Cuenca	TOTAL EDADES	TOTAL	Ambos sexos	1999	200963
16 Cuenca	TOTAL EDADES	TOTAL	Ambos sexos	1998	199086
20 Gipuzkoa	TOTAL EDADES	TOTAL	Ambos sexos	2022	724418
20 Gipuzkoa	TOTAL EDADES	TOTAL	Ambos sexos	2021	726033
20 Gipuzkoa	TOTAL EDADES	TOTAL	Ambos sexos	2020	727121
20 Gipuzkoa	TOTAL EDADES	TOTAL	Ambos sexos	2019	723576
20 Gipuzkoa	TOTAL EDADES	TOTAL	Ambos sexos	2018	720592
20 Gipuzkoa	TOTAL EDADES	TOTAL	Ambos sexos	2017	719282
20 Gipuzkoa	TOTAL EDADES	TOTAL	Ambos sexos	2016	717832
20 Gipuzkoa	TOTAL EDADES	TOTAL	Ambos sexos	2015	716834
20 Gipuzkoa	TOTAL EDADES	TOTAL	Ambos sexos	2014	715148
20 Gipuzkoa	TOTAL EDADES	TOTAL	Ambos sexos	2013	713818
20 Gipuzkoa	TOTAL EDADES	TOTAL	Ambos sexos	2012	712097
20 Gipuzkoa	TOTAL EDADES	TOTAL	Ambos sexos	2011	709607
20 Gipuzkoa	TOTAL EDADES	TOTAL	Ambos sexos	2010	707263
20 Gipuzkoa	TOTAL EDADES	TOTAL	Ambos sexos	2009	705698
20 Gipuzkoa	TOTAL EDADES	TOTAL	Ambos sexos	2008	701056
20 Gipuzkoa	TOTAL EDADES	TOTAL	Ambos sexos	2007	694944
20 Gipuzkoa	TOTAL EDADES	TOTAL	Ambos sexos	2006	691895
20 Gipuzkoa	TOTAL EDADES	TOTAL	Ambos sexos	2005	688708
20 Gipuzkoa	TOTAL EDADES	TOTAL	Ambos sexos	2004	686513
20 Gipuzkoa	TOTAL EDADES	TOTAL	Ambos sexos	2003	684416
20 Gipuzkoa	TOTAL EDADES	TOTAL	Ambos sexos	2002	682977
20 Gipuzkoa	TOTAL EDADES	TOTAL	Ambos sexos	2001	680069
20 Gipuzkoa	TOTAL EDADES	TOTAL	Ambos sexos	2000	679370
20 Gipuzkoa	TOTAL EDADES	TOTAL	Ambos sexos	1999	677275
20 Gipuzkoa	TOTAL EDADES	TOTAL	Ambos sexos	1998	676439
17 Girona	TOTAL EDADES	TOTAL	Ambos sexos	2022	793478
17 Girona	TOTAL EDADES	TOTAL	Ambos sexos	2021	786596
17 Girona	TOTAL EDADES	TOTAL	Ambos sexos	2020	781788
17 Girona	TOTAL EDADES	TOTAL	Ambos sexos	2019	771044
17 Girona	TOTAL EDADES	TOTAL	Ambos sexos	2018	761947
17 Girona	TOTAL EDADES	TOTAL	Ambos sexos	2017	755716
17 Girona	TOTAL EDADES	TOTAL	Ambos sexos	2016	753576
17 Girona	TOTAL EDADES	TOTAL	Ambos sexos	2015	753054
17 Girona	TOTAL EDADES	TOTAL	Ambos sexos	2014	756156
17 Girona	TOTAL EDADES	TOTAL	Ambos sexos	2013	761632
17 Girona	TOTAL EDADES	TOTAL	Ambos sexos	2012	761627
17 Girona	TOTAL EDADES	TOTAL	Ambos sexos	2011	756810
17 Girona	TOTAL EDADES	TOTAL	Ambos sexos	2010	753046
17 Girona	TOTAL EDADES	TOTAL	Ambos sexos	2009	747782
17 Girona	TOTAL EDADES	TOTAL	Ambos sexos	2008	731864
17 Girona	TOTAL EDADES	TOTAL	Ambos sexos	2007	706185
17 Girona	TOTAL EDADES	TOTAL	Ambos sexos	2006	687331
17 Girona	TOTAL EDADES	TOTAL	Ambos sexos	2005	664506
17 Girona	TOTAL EDADES	TOTAL	Ambos sexos	2004	636198
17 Girona	TOTAL EDADES	TOTAL	Ambos sexos	2003	619692
17 Girona	TOTAL EDADES	TOTAL	Ambos sexos	2002	598112
17 Girona	TOTAL EDADES	TOTAL	Ambos sexos	2001	579650
17 Girona	TOTAL EDADES	TOTAL	Ambos sexos	2000	565599
17 Girona	TOTAL EDADES	TOTAL	Ambos sexos	1999	553348
17 Girona	TOTAL EDADES	TOTAL	Ambos sexos	1998	543191
18 Granada	TOTAL EDADES	TOTAL	Ambos sexos	2022	921987
18 Granada	TOTAL EDADES	TOTAL	Ambos sexos	2021	921338
18 Granada	TOTAL EDADES	TOTAL	Ambos sexos	2020	919168
18 Granada	TOTAL EDADES	TOTAL	Ambos sexos	2019	914678
18 Granada	TOTAL EDADES	TOTAL	Ambos sexos	2018	912075
18 Granada	TOTAL EDADES	TOTAL	Ambos sexos	2017	912938
18 Granada	TOTAL EDADES	TOTAL	Ambos sexos	2016	915392
18 Granada	TOTAL EDADES	TOTAL	Ambos sexos	2015	917297
18 Granada	TOTAL EDADES	TOTAL	Ambos sexos	2014	919455
18 Granada	TOTAL EDADES	TOTAL	Ambos sexos	2013	919319
18 Granada	TOTAL EDADES	TOTAL	Ambos sexos	2012	922928
18 Granada	TOTAL EDADES	TOTAL	Ambos sexos	2011	924550
18 Granada	TOTAL EDADES	TOTAL	Ambos sexos	2010	918072
18 Granada	TOTAL EDADES	TOTAL	Ambos sexos	2009	907428
18 Granada	TOTAL EDADES	TOTAL	Ambos sexos	2008	901220
18 Granada	TOTAL EDADES	TOTAL	Ambos sexos	2007	884099
18 Granada	TOTAL EDADES	TOTAL	Ambos sexos	2006	876184
18 Granada	TOTAL EDADES	TOTAL	Ambos sexos	2005	860898
18 Granada	TOTAL EDADES	TOTAL	Ambos sexos	2004	841687
18 Granada	TOTAL EDADES	TOTAL	Ambos sexos	2003	828107
18 Granada	TOTAL EDADES	TOTAL	Ambos sexos	2002	818959
18 Granada	TOTAL EDADES	TOTAL	Ambos sexos	2001	812637
18 Granada	TOTAL EDADES	TOTAL	Ambos sexos	2000	809004
18 Granada	TOTAL EDADES	TOTAL	Ambos sexos	1999	813061
18 Granada	TOTAL EDADES	TOTAL	Ambos sexos	1998	801177
19 Guadalajara	TOTAL EDADES	TOTAL	Ambos sexos	2022	268127
19 Guadalajara	TOTAL EDADES	TOTAL	Ambos sexos	2021	265588
19 Guadalajara	TOTAL EDADES	TOTAL	Ambos sexos	2020	261995
19 Guadalajara	TOTAL EDADES	TOTAL	Ambos sexos	2019	257762
19 Guadalajara	TOTAL EDADES	TOTAL	Ambos sexos	2018	254308
19 Guadalajara	TOTAL EDADES	TOTAL	Ambos sexos	2017	253310
19 Guadalajara	TOTAL EDADES	TOTAL	Ambos sexos	2016	252882
19 Guadalajara	TOTAL EDADES	TOTAL	Ambos sexos	2015	253686
19 Guadalajara	TOTAL EDADES	TOTAL	Ambos sexos	2014	255426
19 Guadalajara	TOTAL EDADES	TOTAL	Ambos sexos	2013	257723
19 Guadalajara	TOTAL EDADES	TOTAL	Ambos sexos	2012	259537
19 Guadalajara	TOTAL EDADES	TOTAL	Ambos sexos	2011	256461
19 Guadalajara	TOTAL EDADES	TOTAL	Ambos sexos	2010	251563
19 Guadalajara	TOTAL EDADES	TOTAL	Ambos sexos	2009	246151
19 Guadalajara	TOTAL EDADES	TOTAL	Ambos sexos	2008	237787
19 Guadalajara	TOTAL EDADES	TOTAL	Ambos sexos	2007	224076
19 Guadalajara	TOTAL EDADES	TOTAL	Ambos sexos	2006	213505
19 Guadalajara	TOTAL EDADES	TOTAL	Ambos sexos	2005	203737
19 Guadalajara	TOTAL EDADES	TOTAL	Ambos sexos	2004	193913
19 Guadalajara	TOTAL EDADES	TOTAL	Ambos sexos	2003	185474
19 Guadalajara	TOTAL EDADES	TOTAL	Ambos sexos	2002	177761
19 Guadalajara	TOTAL EDADES	TOTAL	Ambos sexos	2001	171532
19 Guadalajara	TOTAL EDADES	TOTAL	Ambos sexos	2000	165347
19 Guadalajara	TOTAL EDADES	TOTAL	Ambos sexos	1999	161669
19 Guadalajara	TOTAL EDADES	TOTAL	Ambos sexos	1998	159331
21 Huelva	TOTAL EDADES	TOTAL	Ambos sexos	2022	528763
21 Huelva	TOTAL EDADES	TOTAL	Ambos sexos	2021	525835
21 Huelva	TOTAL EDADES	TOTAL	Ambos sexos	2020	524278
21 Huelva	TOTAL EDADES	TOTAL	Ambos sexos	2019	521870
21 Huelva	TOTAL EDADES	TOTAL	Ambos sexos	2018	519932
21 Huelva	TOTAL EDADES	TOTAL	Ambos sexos	2017	518930
21 Huelva	TOTAL EDADES	TOTAL	Ambos sexos	2016	519596
21 Huelva	TOTAL EDADES	TOTAL	Ambos sexos	2015	520017
21 Huelva	TOTAL EDADES	TOTAL	Ambos sexos	2014	519229
21 Huelva	TOTAL EDADES	TOTAL	Ambos sexos	2013	520668
21 Huelva	TOTAL EDADES	TOTAL	Ambos sexos	2012	522862
21 Huelva	TOTAL EDADES	TOTAL	Ambos sexos	2011	521968
21 Huelva	TOTAL EDADES	TOTAL	Ambos sexos	2010	518081
21 Huelva	TOTAL EDADES	TOTAL	Ambos sexos	2009	513403
21 Huelva	TOTAL EDADES	TOTAL	Ambos sexos	2008	507915
21 Huelva	TOTAL EDADES	TOTAL	Ambos sexos	2007	497671
21 Huelva	TOTAL EDADES	TOTAL	Ambos sexos	2006	492174
21 Huelva	TOTAL EDADES	TOTAL	Ambos sexos	2005	483792
21 Huelva	TOTAL EDADES	TOTAL	Ambos sexos	2004	476707
21 Huelva	TOTAL EDADES	TOTAL	Ambos sexos	2003	472446
21 Huelva	TOTAL EDADES	TOTAL	Ambos sexos	2002	464934
21 Huelva	TOTAL EDADES	TOTAL	Ambos sexos	2001	461730
21 Huelva	TOTAL EDADES	TOTAL	Ambos sexos	2000	458998
21 Huelva	TOTAL EDADES	TOTAL	Ambos sexos	1999	457507
21 Huelva	TOTAL EDADES	TOTAL	Ambos sexos	1998	453958
22 Huesca	TOTAL EDADES	TOTAL	Ambos sexos	2022	225456
22 Huesca	TOTAL EDADES	TOTAL	Ambos sexos	2021	224264
22 Huesca	TOTAL EDADES	TOTAL	Ambos sexos	2020	222687
22 Huesca	TOTAL EDADES	TOTAL	Ambos sexos	2019	220461
22 Huesca	TOTAL EDADES	TOTAL	Ambos sexos	2018	219345
22 Huesca	TOTAL EDADES	TOTAL	Ambos sexos	2017	219702
22 Huesca	TOTAL EDADES	TOTAL	Ambos sexos	2016	221079
22 Huesca	TOTAL EDADES	TOTAL	Ambos sexos	2015	222909
22 Huesca	TOTAL EDADES	TOTAL	Ambos sexos	2014	224909
22 Huesca	TOTAL EDADES	TOTAL	Ambos sexos	2013	226329
22 Huesca	TOTAL EDADES	TOTAL	Ambos sexos	2012	227609
22 Huesca	TOTAL EDADES	TOTAL	Ambos sexos	2011	228361
22 Huesca	TOTAL EDADES	TOTAL	Ambos sexos	2010	228566
22 Huesca	TOTAL EDADES	TOTAL	Ambos sexos	2009	228409
22 Huesca	TOTAL EDADES	TOTAL	Ambos sexos	2008	225271
22 Huesca	TOTAL EDADES	TOTAL	Ambos sexos	2007	220107
22 Huesca	TOTAL EDADES	TOTAL	Ambos sexos	2006	218023
22 Huesca	TOTAL EDADES	TOTAL	Ambos sexos	2005	215864
22 Huesca	TOTAL EDADES	TOTAL	Ambos sexos	2004	212901
22 Huesca	TOTAL EDADES	TOTAL	Ambos sexos	2003	211286
22 Huesca	TOTAL EDADES	TOTAL	Ambos sexos	2002	208963
22 Huesca	TOTAL EDADES	TOTAL	Ambos sexos	2001	205955
22 Huesca	TOTAL EDADES	TOTAL	Ambos sexos	2000	205430
22 Huesca	TOTAL EDADES	TOTAL	Ambos sexos	1999	205429
22 Huesca	TOTAL EDADES	TOTAL	Ambos sexos	1998	204956
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2022	623761
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2021	627190
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2020	631381
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2019	633564
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2018	638099
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2017	643484
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2016	648250
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2015	654170
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2014	659033
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2013	664916
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2012	670242
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2011	670600
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2010	670761
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2009	669782
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2008	667438
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2007	664742
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2006	662751
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2005	660284
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2004	654458
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2003	651565
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2002	647387
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2001	645781
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	2000	645711
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	1999	649662
23 Jaén	TOTAL EDADES	TOTAL	Ambos sexos	1998	645792
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2022	448179
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2021	451706
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2020	456439
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2019	460001
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2018	463746
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2017	468316
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2016	473604
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2015	479395
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2014	484694
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2013	489752
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2012	494451
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2011	497799
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2010	499284
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2009	500169
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2008	500200
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2007	497387
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2006	498223
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2005	495902
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2004	492720
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2003	495998
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2002	496655
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2001	499517
24 León	TOTAL EDADES	TOTAL	Ambos sexos	2000	502155
24 León	TOTAL EDADES	TOTAL	Ambos sexos	1999	506511
24 León	TOTAL EDADES	TOTAL	Ambos sexos	1998	506365
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2022	441443
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2021	439727
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2020	438517
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2019	434930
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2018	432866
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2017	432384
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2016	434041
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2015	436029
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2014	438001
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2013	440915
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2012	443032
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2011	442308
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2010	439768
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2009	436402
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2008	426872
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2007	414015
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2006	407496
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2005	399439
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2004	385092
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2003	377639
25 Lleida	TOTAL EDADES	TOTAL	Ambos sexos	2002	371055
